cell      in-output  reach-only  none
m03.md            2           0     0
m04.md           14           1     0
m06.md          104           0     0
m08.md          106           0     0
m10.md           31           7     0
m12.md            5           0     0
m14.md           47           0     0
m16.md           22           0     0
m18.md           15           0     0
e01.md           11           0     0
e07.md            6           1     0
unmatched rows written: 9
